iter	Logloss
0	0.6096312208
1	0.550555448
2	0.5109567516
3	0.4854202056
4	0.4553765205
5	0.435256916
6	0.4214706395
7	0.4107218526
8	0.4026348646
9	0.3945901595
10	0.3897544825
11	0.3836297656
12	0.377993968
13	0.3741070276
14	0.3712523939
15	0.3692381518
16	0.3671313593
17	0.3638237971
18	0.3618751898
19	0.360432402
20	0.3589801027
21	0.3581146385
22	0.3574058494
23	0.3548765355
24	0.3535058475
25	0.3523378236
26	0.3507895397
27	0.3499407134
28	0.349442177
29	0.3487394133
30	0.3483102594
31	0.347789917
32	0.3470316009
33	0.3465966203
34	0.3461192005
35	0.3448554367
36	0.3444496935
37	0.3440785425
38	0.3438175968
39	0.3437259365
40	0.3432166639
41	0.3428932434
42	0.3426098218
43	0.3424801532
44	0.342051386
45	0.34177981
46	0.3413210745
47	0.3410578483
48	0.3406127928
49	0.3401725337
50	0.3399317032
51	0.3397227781
52	0.3395751221
53	0.3394645431
54	0.3392524095
55	0.3390652351
56	0.3389912344
57	0.3386854212
58	0.3384850026
59	0.3382293639
60	0.3381212746
61	0.338022416
62	0.3379316866
63	0.3378061647
64	0.3377725621
65	0.3373503542
66	0.3373454076
67	0.3369000518
68	0.3368423635
69	0.3368379508
70	0.3366844719
71	0.3359467037
72	0.3358656159
73	0.3355363211
74	0.3354964843
75	0.3354458925
76	0.3353330757
77	0.3352508129
78	0.3352474398
79	0.3349790835
80	0.334953818
81	0.3349379923
82	0.3341595206
83	0.333883643
84	0.3336024469
85	0.3335922896
86	0.3335888716
87	0.3334231674
88	0.33341442
89	0.3333257375
90	0.3332692584
91	0.332749391
92	0.3327431244
93	0.3327131572
94	0.3326828104
95	0.3309989402
96	0.3308973716
97	0.3307140508
98	0.3304458385
99	0.3303722398
