iter	Passed	Remaining
0	1	168
1	3	165
2	5	165
3	6	161
4	8	159
5	9	156
6	11	152
7	13	150
8	14	147
9	16	146
10	17	144
11	19	142
12	25	169
13	27	169
14	31	176
15	35	185
16	39	192
17	41	189
18	43	186
19	45	181
20	47	177
21	48	172
22	50	168
23	51	164
24	53	160
25	55	157
26	56	153
27	58	150
28	60	147
29	61	143
30	63	140
31	64	137
32	66	134
33	68	132
34	69	129
35	71	126
36	72	124
37	74	121
38	76	119
39	77	116
40	79	114
41	81	111
42	82	109
43	84	107
44	85	104
45	87	102
46	89	100
47	90	98
48	92	96
49	93	93
50	95	91
51	97	89
52	98	87
53	100	85
54	102	83
55	103	81
56	105	79
57	106	77
58	108	75
59	110	73
60	111	71
61	113	69
62	115	67
63	116	65
64	118	63
65	120	61
66	121	59
67	123	58
68	125	56
69	126	54
70	128	52
71	129	50
72	131	48
73	133	46
74	134	44
75	136	43
76	137	41
77	139	39
78	141	37
79	142	35
80	144	33
81	146	32
82	148	30
83	149	28
84	151	26
85	153	24
86	154	23
87	156	21
88	158	19
89	159	17
90	161	15
91	163	14
92	164	12
93	166	10
94	167	8
95	169	7
96	171	5
97	173	3
98	174	1
99	176	0
